num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_swap_runtime: ,average_swap_runtime: ,total_runtime,loss_history
30000,10,79.17191314697266,265565083,74367448,703350776,6,241638847,916737063,241621670,777718224,1043283307,126546244,18078034.85714286,13.289560113634382,87.82260274887085,14.637100458145142,93.02692079544067,"[79.6627197265625, 79.3604965209961, 79.29605102539062, 79.24176025390625, 79.20220184326172, 79.1717300415039, 79.1717300415039, 79.1717300415039, 79.1717300415039, 79.1717300415039]"
50000,10,79.22435760498047,412724050,131158019,984418969,5,407943699,1296751649,407901503,1115576988,1528301038,231549389,38591564.833333336,25.799007654190063,137.402423620224,27.4804847240448,154.79404592514038,"[79.68792724609375, 79.49488830566406, 79.3530502319336, 79.26698303222656, 79.2247085571289, 79.2247085571289, 79.2247085571289, 79.2247085571289, 79.2247085571289, 79.2247085571289]"
10000,10,79.37871551513672,104746800,22154401,245335514,8,57949186,334416553,57960750,267489915,372236715,37820162,4202240.222222222,3.8123883406321206,29.107177019119263,3.638397127389908,34.31149506568909,"[79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734]"
30000,10,79.1351547241211,210733171,72237405,536765709,5,214660084,697101183,214697227,609003114,819736285,122635102,20439183.666666668,13.428727189699808,63.18074083328247,12.636148166656492,80.57236313819885,"[79.86839294433594, 79.86839294433594, 79.86839294433594, 79.86839294433594, 79.86839294433594, 79.86839294433594, 79.86839294433594, 79.86839294433594, 79.86839294433594, 79.86839294433594]"
10000,10,79.37871551513672,110068247,31399628,369970871,8,65643848,462791915,65664730,401370499,511438746,48646831,5405203.444444444,3.814274549484253,29.12415289878845,3.640519112348557,34.32847094535828,"[79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734]"
10000,10,79.37871551513672,109796211,30398276,314960409,8,63228217,415294322,63246247,345358685,455154896,39860574,4428952.666666667,3.796607308917576,28.965147733688354,3.620643466711044,34.16946578025818,"[79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734]"
70000,10,79.11018371582031,813050744,247738325,3210355409,8,998588121,3640232494,998816823,3458093734,4271144478,630911984,70101331.55555555,40.29990575048659,312.0215096473694,39.00268870592117,362.6991517543793,"[79.67359924316406, 79.67359924316406, 79.67359924316406, 79.67359924316406, 79.67359924316406, 79.67359924316406, 79.67359924316406, 79.67359924316406, 79.67359924316406, 79.67359924316406]"
70000,10,79.11018371582031,823470963,255129268,4378859357,8,1336401091,4558298770,1336728622,4633988625,5457459588,899160818,99906757.55555557,44.89089478386773,353.3404109477997,44.16755136847496,404.0180530548096,"[79.67359924316406, 79.67359924316406, 79.67359924316406, 79.67359924316406, 79.67359924316406, 79.67359924316406, 79.67359924316406, 79.67359924316406, 79.67359924316406, 79.67359924316406]"
10000,10,79.37871551513672,112430141,29836929,374235030,8,65289476,463848412,65304839,404071959,516502100,52653688,5850409.777777778,4.024734099706014,31.0182888507843,3.8772861063480377,36.222606897354126,"[79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734]"
70000,10,79.17169952392578,606380482,244209872,7216192470,6,2164748549,6452816169,2165206548,7460402342,8066782824,1613966655,230566665.0,71.68428887639728,451.112380027771,75.18539667129517,501.7900221347809,"[79.77169799804688, 79.77169799804688, 79.77169799804688, 79.77169799804688, 79.77169799804688, 79.77169799804688, 79.77169799804688, 79.77169799804688, 79.77169799804688, 79.77169799804688]"
