num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_swap_runtime: ,average_swap_runtime: ,total_runtime,loss_history
30000,10,79.17191314697266,450119361,40593929,1252216415,6,0,0,0,1292810344,1742929705,1742929705,248989957.85714287,62.34558016913278,425.1418471336365,70.85697452227275,436.41906118392944,"[79.6627197265625, 79.3604965209961, 79.29605102539062, 79.24176025390625, 79.20220184326172, 79.1717300415039, 79.1717300415039, 79.1717300415039, 79.1717300415039, 79.1717300415039]"
30000,10,0.0,126659675,38083359,156550584,1,0,0,0,194633943,321293618,321293618,160646809.0,43.96925508975983,76.66129612922668,76.66129612922668,87.93851017951965,"[79.6627197265625, 79.3604965209961, 79.3604965209961, 79.3604965209961, 79.3604965209961, 79.3604965209961, 79.3604965209961, 79.3604965209961, 79.3604965209961, 79.3604965209961]"
30000,10,0.0,194165680,40570301,360016889,2,0,0,0,400587190,594752870,594752870,198250956.66666663,51.20876399676005,142.34907793998718,71.17453896999359,153.62629199028015,"[79.6627197265625, 79.3604965209961, 79.29605102539062, 79.29605102539062, 79.29605102539062, 79.29605102539062, 79.29605102539062, 79.29605102539062, 79.29605102539062, 79.29605102539062]"
50000,10,0.0,344718180,60800172,674857011,2,0,0,0,735657183,1080375363,1080375363,360125121.0,93.89858333269756,245.8272960186005,122.91364800930025,281.69574999809265,"[79.68792724609375, 79.49488830566406, 79.3530502319336, 79.3530502319336, 79.3530502319336, 79.3530502319336, 79.3530502319336, 79.3530502319336, 79.3530502319336, 79.3530502319336]"
10000,10,0.0,65577203,16128228,657749653,2,0,0,0,673877881,739455084,739455084,246485028.0,55.24378196398417,154.45413184165955,77.22706592082977,165.73134589195251,"[79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734]"
10000,10,0.0,67246536,16329618,205918463,2,0,0,0,222248081,289494617,289494617,96498205.66666669,23.7461412747701,59.96120977401733,29.980604887008667,71.2384238243103,"[79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734]"
70000,10,0.0,491764585,132089581,1553696426,2,0,0,0,1685786007,2177550592,2177550592,725850197.3333334,175.54457036654154,441.4807243347168,220.7403621673584,526.6337110996246,"[79.67359924316406, 79.67359924316406, 79.67359924316406, 79.67359924316406, 79.67359924316406, 79.67359924316406, 79.67359924316406, 79.67359924316406, 79.67359924316406, 79.67359924316406]"
70000,10,0.0,440442338,111788836,1973466531,2,0,0,0,2085255367,2525697705,2525697705,841899235.0,206.4384787082672,534.1624493598938,267.0812246799469,619.3154361248016,"[79.67359924316406, 79.67359924316406, 79.67359924316406, 79.67359924316406, 79.67359924316406, 79.67359924316406, 79.67359924316406, 79.67359924316406, 79.67359924316406, 79.67359924316406]"
10000,10,0.0,64896842,16588686,618041949,2,0,0,0,634630635,699527477,699527477,233175825.66666663,52.88221001625061,147.36941599845886,73.68470799922943,158.64663004875183,"[79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734]"
70000,10,0.0,450734719,106479997,4533686138,2,0,0,0,4640166135,5090900854,5090900854,1696966951.3333333,396.3710449536641,1103.9601480960846,551.9800740480423,1189.1131348609924,"[79.77169799804688, 79.77169799804688, 79.77169799804688, 79.77169799804688, 79.77169799804688, 79.77169799804688, 79.77169799804688, 79.77169799804688, 79.77169799804688, 79.77169799804688]"
